City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,egvekinot,66.3167,-179.1667,-26.8,87,100,3.9,RU,1675727310
1,bairiki,1.3292,172.9752,30.0,66,75,5.66,KI,1675727310
2,bambanglipuro,-7.95,110.2833,24.07,93,100,1.89,ID,1675727311
3,yellowknife,62.456,-114.3525,-20.71,77,75,3.6,CA,1675727201
4,saskylakh,71.9167,114.0833,-35.86,100,97,1.1,RU,1675727311
5,port alfred,-33.5906,26.891,21.77,93,100,0.89,ZA,1675727312
6,kapaa,22.0752,-159.319,27.18,80,40,5.14,US,1675727312
7,torbay,47.6666,-52.7314,1.05,95,100,2.68,CA,1675727312
8,den helder,52.9599,4.7593,0.57,100,0,0.51,NL,1675727313
9,qaanaaq,77.484,-69.3632,-28.54,97,100,1.65,GL,1675727313
10,tuatapere,-46.1333,167.6833,16.83,65,86,6.23,NZ,1675727314
11,hilo,19.7297,-155.09,27.38,82,100,4.12,US,1675727314
12,hasaki,35.7333,140.8333,7.9,54,100,1.53,JP,1675727315
13,puerto ayora,-0.7393,-90.3518,27.53,85,52,4.47,EC,1675727226
14,abay,49.6311,72.8539,-12.79,97,99,3.05,KZ,1675727315
15,busselton,-33.65,115.3333,20.98,66,99,5.59,AU,1675727315
16,lebu,-37.6167,-73.65,14.74,82,0,8.35,CL,1675727316
17,rikitea,-23.1203,-134.9692,26.31,73,59,4.31,PF,1675727316
18,blythe,33.6103,-114.5964,21.25,14,0,7.72,US,1675727317
19,mataura,-46.1927,168.8643,14.3,90,75,3.24,NZ,1675727317
20,sun valley,39.5963,-119.776,5.13,51,0,3.13,US,1675727317
21,bereda,43.2686,-7.5406,-1.03,100,9,1.7,ES,1675727318
22,vaini,-21.2,-175.2,26.09,94,75,1.54,TO,1675727318
23,san patricio,28.017,-97.5169,24.19,77,31,7.83,US,1675727251
24,hermanus,-34.4187,19.2345,22.11,93,27,2.22,ZA,1675727319
25,rancho palos verdes,33.7445,-118.387,21.82,50,0,7.72,US,1675727039
26,kahului,20.8947,-156.47,28.32,66,40,11.32,US,1675727221
27,punta arenas,-53.15,-70.9167,14.06,77,75,5.14,CL,1675727138
28,new norfolk,-42.7826,147.0587,20.95,45,7,1.79,AU,1675727319
29,kruisfontein,-34.0033,24.7314,22.16,92,82,2.56,ZA,1675727094
30,vila velha,-20.3297,-40.2925,26.08,86,0,0.0,BR,1675727247
31,bengkulu,-3.8004,102.2655,24.12,83,89,2.63,ID,1675727320
32,iquique,-20.2208,-70.1431,24.02,81,82,2.81,CL,1675727146
33,nizhnevartovsk,60.9344,76.5531,-15.99,92,75,1.0,RU,1675727039
34,raudeberg,61.9875,5.1352,7.15,75,100,12.65,NO,1675727321
35,ancud,-41.8697,-73.8203,14.14,80,0,0.92,CL,1675727316
36,sterlibashevo,53.4376,55.2578,-15.75,100,92,1.19,RU,1675727321
37,mar del plata,-38.0023,-57.5575,21.16,72,0,6.69,AR,1675727086
38,dudinka,69.4058,86.1778,-21.88,99,100,2.22,RU,1675727322
39,bud,39.447,-86.1758,7.25,68,100,4.83,US,1675727322
40,atuona,-9.8,-139.0333,25.92,77,16,5.88,PF,1675727105
41,mehamn,71.0357,27.8492,4.97,75,20,10.29,NO,1675727142
42,bethel,41.3712,-73.414,5.17,68,20,4.63,US,1675727323
43,meadow lake,34.8014,-106.5436,9.71,37,58,8.01,US,1675727323
44,avarua,-21.2078,-159.775,29.03,79,20,5.14,CK,1675727077
45,yar-sale,66.8333,70.8333,-20.36,98,93,2.67,RU,1675727323
46,bambous virieux,-20.3428,57.7575,25.68,94,75,3.09,MU,1675727324
47,bredasdorp,-34.5322,20.0403,20.34,94,69,1.35,ZA,1675727101
